State,Capital,Accession,Population (2019)[78],Area,Population density,MEPs
Austria,Vienna,199501011 January 1995,8858775,"83,855 km2(32,377 sq mi)",106/km2(270/sq mi),19
Belgium,Brussels,19570325Founder,11467923,"30,528 km2(11,787 sq mi)",376/km2(970/sq mi),21
Bulgaria,Sofia,200701011 January 2007,7000039,"110,994 km2(42,855 sq mi)",63/km2(160/sq mi),17
Croatia,Zagreb,201307011 July 2013,4076246,"56,594 km2(21,851 sq mi)",72/km2(190/sq mi),12
Cyprus,Nicosia,200405011 May 2004,875898,"9,251 km2(3,572 sq mi)",95/km2(250/sq mi),6
Czech Republic,Prague,200405011 May 2004,10649800,"78,866 km2(30,450 sq mi)",135/km2(350/sq mi),21
Denmark,Copenhagen,197301011 January 1973,5806081,"43,075 km2(16,631 sq mi)",135/km2(350/sq mi),14
Estonia,Tallinn,200405011 May 2004,1324820,"45,227 km2(17,462 sq mi)",29/km2(75/sq mi),7
Finland,Helsinki,199501011 January 1995,5517919,"338,424 km2(130,666 sq mi)",16/km2(41/sq mi),14
France,Paris,19570325Founder,67028048,"640,679 km2(247,368 sq mi)",105/km2(270/sq mi),79
Germany,Berlin,19570325Founder[m],83019214,"357,021 km2(137,847 sq mi)",233/km2(600/sq mi),96
Greece,Athens,198101011 January 1981,10722287,"131,990 km2(50,960 sq mi)",81/km2(210/sq mi),21
Hungary,Budapest,200401011 May 2004,9797561,"93,030 km2(35,920 sq mi)",105/km2(270/sq mi),21
Ireland,Dublin,197301011 January 1973,4904226,"70,273 km2(27,133 sq mi)",70/km2(180/sq mi),13
Italy,Rome,19570325Founder,60359546,"301,338 km2(116,347 sq mi)",200/km2(520/sq mi),76
Latvia,Riga,200405011 May 2004,1919968,"64,589 km2(24,938 sq mi)",30/km2(78/sq mi),8
Lithuania,Vilnius,200405011 May 2004,2794184,"65,200 km2(25,200 sq mi)",43/km2(110/sq mi),11
Luxembourg,Luxembourg City,19570325Founder,613894,"2,586 km2(998 sq mi)",237/km2(610/sq mi),6
Malta,Valletta,200405011 May 2004,493559,316 km2(122 sq mi),"1,562/km2(4,050/sq mi)",6
Netherlands,Amsterdam,19570325Founder,17282163,"41,543 km2(16,040 sq mi)","416/km2(1,080/sq mi)",29
Poland,Warsaw,200405011 May 2004,37972812,"312,685 km2(120,728 sq mi)",121/km2(310/sq mi),52
Portugal,Lisbon,198601011 January 1986,10276617,"92,390 km2(35,670 sq mi)",111/km2(290/sq mi),21
Romania,Bucharest,200701011 January 2007,19401658,"238,391 km2(92,043 sq mi)",81/km2(210/sq mi),33
Slovakia,Bratislava,200405011 May 2004,5450421,"49,035 km2(18,933 sq mi)",111/km2(290/sq mi),14
Slovenia,Ljubljana,200405011 May 2004,2080908,"20,273 km2(7,827 sq mi)",103/km2(270/sq mi),8
Spain,Madrid,198601011 January 1986,46934632,"504,030 km2(194,610 sq mi)",93/km2(240/sq mi),59
Sweden,Stockholm,199501011 January 1995,10230185,"449,964 km2(173,732 sq mi)",23/km2(60/sq mi),21
27 total,27 total,27 total,446834579,"4,233,262 km2(1,634,472 sq mi)",106/km2(270/sq mi),705
